,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
485,Hamilton,CA,26.08,43.26,-79.87,73,75,5.82
486,Ballina,IE,46.35,54.11,-9.15,87,75,4.7
487,Prieska,ZA,58.58,-29.67,22.74,57,0,2.75
488,Mugur-Aksy,RU,21.23,50.38,90.44,72,0,2.75
489,Wajima,JP,57.2,37.4,136.9,50,75,24.16
491,Nikolskoye,RU,28.58,59.7,30.79,73,0,8.95
492,Great Bend,US,51.67,38.36,-98.78,66,1,21.92
493,Palana,RU,12.95,59.08,159.95,62,80,6.11
494,Isaka,CD,74.78,-2.81,17.72,88,20,2.98
495,Zhemtala,RU,32,43.28,43.66,68,90,2.24
496,Huaiyin,CN,77,33.59,119.02,73,92,6.44
497,Peremyshlyany,UA,32,49.67,24.56,85,75,15.66
498,Ajdabiya,LY,52.28,30.75,20.22,52,0,5.32
499,Priponesti,RO,37.15,46.08,27.43,74,40,9.17
500,Marsa Matruh,EG,53.81,31.35,27.25,83,0,10.02
501,Harper,US,56.26,30.3,-99.24,71,1,3.36
502,Pandoh,IN,69.8,31.67,77.06,46,75,2.24
504,Ketchikan,US,47.71,55.34,-131.65,87,90,6.11
505,Port Hedland,AU,89.6,-20.31,118.58,66,0,12.75
506,Guerrero Negro,MX,56.06,27.97,-114.04,99,76,6.67
507,Arman,RU,17.9,59.7,150.17,59,80,7.78
508,Swift Current,CA,42.8,50.29,-107.8,48,90,23.04
509,Tazovskiy,RU,33.38,67.47,78.7,97,48,19.64
510,Lumeje,AO,67.94,-11.56,20.78,94,64,4.65
511,Korem,ET,68.75,12.51,39.52,68,8,3.2
512,Whitehorse,CA,29.61,60.72,-135.06,55,20,3.36
513,Bosaso,SO,89.6,11.28,49.18,46,0,24.16
514,Novoagansk,RU,35.9,61.94,76.66,79,80,6.44
515,Sobolevo,RU,26.81,54.43,31.9,74,24,7.9
516,Aksu,KZ,44.6,52.04,76.93,65,40,8.95
517,Nome,US,55.92,30.04,-94.42,58,1,6.93
518,Lavrentiya,RU,32.66,65.58,-170.99,89,88,32.73
519,Yulara,AU,87.8,-25.24,130.99,12,0,11.41
520,Namestovo,SK,34.23,49.41,19.48,64,20,10.29
521,Iskateley,RU,22.13,67.68,53.15,87,0,13.27
522,Istanbul,TR,49.77,41.01,28.95,71,75,9.17
526,Bend,US,36.9,44.06,-121.32,90,20,8.05
527,Port Macquarie,AU,74.39,-31.43,152.91,53,92,10.29
528,Strathmiglo,GB,47.05,56.28,-3.26,87,75,4.7
529,Zhangjiakou,CN,49.13,40.77,114.88,59,0,10.02
530,Ilheus,BR,77,-14.79,-39.05,94,40,3.36
531,Laguna,MX,63.8,27.52,-110.01,63,44,1.74
532,Haines Junction,CA,18.08,60.75,-137.51,75,0,1.52
533,Chortomlyk,UA,42.11,47.62,34.14,93,0,6.67
534,Granadilla de Abona,ES,58.23,28.12,-16.58,82,20,8.05
536,Dubbo,AU,82.4,-32.25,148.6,34,0,13.87
537,Fereydun Kenar,IR,53.6,36.69,52.52,81,40,6.93
538,Avera,US,46.45,33.19,-82.53,87,1,5.82
540,Lubango,AO,67.58,-14.92,13.49,81,76,2.19
541,Kropotkin,RU,43,45.43,40.58,59,0,4.43
542,Kotturu,IN,87.02,14.82,76.23,53,24,4.43
543,Manuk Mangkaw,PH,83.06,4.8,119.85,100,64,4.21
544,Adre,TD,74.51,13.47,22.2,20,0,14.61
545,Muscat,OM,77,23.6,58.55,94,75,12.75
546,Batagay-Alyta,RU,12.77,67.8,130.41,71,0,4.21
547,Nakamura,JP,63.39,35.17,136.87,36,0,5.82
548,Washougal,US,43.95,45.58,-122.35,70,1,3.76
549,Loei,TH,86,17.49,101.72,62,75,10.29
550,Amahai,ID,85.13,-3.31,129,100,32,4.99
551,Shenjiamen,CN,57.14,29.96,122.3,95,88,13.49
552,Te Anau,NZ,50.03,-45.41,167.72,68,8,7.23
553,Chemal,RU,41.93,51.41,86,51,64,2.75
554,Iralaya,HN,80.18,15,-83.23,78,92,10.47
555,Stromness,CA,23.92,42.87,-79.55,73,75,5.82
556,Kirakira,SB,83.87,-10.46,161.92,100,36,7.67
557,Luderitz,NA,60.2,-26.65,15.16,87,24,9.13
558,Pimentel,BR,75.05,-3.7,-45.5,96,76,1.41
559,Aklavik,CA,33.8,68.22,-135.01,74,75,4.7
561,Ciudad Bolivar,VE,79.1,8.12,-63.55,50,0,14.16
562,Alghero,IT,48.92,40.56,8.32,71,20,16.11
563,Nauen,DE,42.93,52.61,12.88,93,75,6.93
564,Arouca,PT,54.63,40.93,-8.24,24,0,13.87
565,Goderich,CA,24.73,43.74,-81.71,73,24,5.44
569,Kavaratti,IN,83.78,10.57,72.64,100,0,6.33
570,Smithers,CA,35.6,54.78,-127.17,69,75,3.36
571,Obigarm,TJ,35.9,38.72,69.71,96,92,1.74
575,Severo-Yeniseyskiy,RU,34.55,60.37,93.04,56,12,4.21
576,Santa Cruz,US,55.63,36.97,-122.03,87,75,8.05
577,Kazachinskoye,RU,36.71,57.69,93.28,74,0,5.21
578,Kaabong,UG,73.34,3.51,34.14,67,88,3.53
581,Chizhou,CN,63.26,30.67,117.49,99,100,4.21
582,Lagoa,PT,57.9,37.14,-8.45,55,0,25.28
583,Ellisras,ZA,69.83,-23.67,27.74,75,92,14.27
585,Erenhot,CN,38.51,43.65,111.97,39,0,6.89
587,Adrar,DZ,64.4,27.87,-0.29,63,40,13.87
588,Parana,BR,77,-7.52,-72.89,94,90,4.54
589,Gurkovo,BG,44.06,42.98,23.69,56,0,9.17
590,Deputatskiy,RU,8.72,69.3,139.9,74,0,3.98
591,Mucuri,BR,77.75,-18.08,-39.55,89,44,8.23
592,Plouzane,FR,38.16,48.38,-4.62,93,0,4.7
593,Leningradskiy,RU,29.42,69.38,178.42,83,76,16.4
594,Namibe,AO,76.94,-15.19,12.15,100,56,6.22
595,Pangoa,PE,67.04,-12.12,-73,98,92,2.08
596,Eureka,US,49.57,40.8,-124.16,100,90,10.29
597,Salinopolis,BR,79.01,-0.61,-47.36,100,88,7.11
598,Eugene,US,42.28,44.05,-123.1,75,75,5.82
599,Hirado,JP,64.2,33.32,129.49,59,20,18.34
600,Codrington,AU,69.84,-28.95,153.24,94,90,5.82
601,Brae,GB,47.17,60.4,-1.35,100,90,14.99
602,Teguldet,RU,39.68,57.31,88.17,60,0,6.55
603,Muisne,EC,69.74,0.61,-80.02,96,44,2.3
604,Shintomi,JP,75.2,32.08,131.47,15,40,17.22
605,Labuhan,ID,87.56,-2.54,115.51,64,48,3.2
606,Ewa Beach,US,71.53,21.32,-158.01,68,90,4.7
607,Lipin Bor,RU,26.27,60.26,37.97,100,80,3.87
